Category,Sub Category,Product,Price,Rating,Rating_Count
Arts & Crafts,Fabric,"Mesheshe 10PCS Self Adhesive Felt Fabric, Soft Velvet Drawer Liner, DIY Velvet Fabric for Art & Crafts, Jewelry Box Felt Liner, A4 Size (8.3"" x 11.8"", Black)",$7.98,4.5,1482
Arts & Crafts,Fabric,"42pcs Felt Fabric Sheet 4""x4"" Assorted Color DIY Craft Squares Nonwoven 1mm Thick",$5.98,4.4,6215
Arts & Crafts,Fabric,"Tulle Fabric Rolls 6 Inch by 100 Yards (300 feet) Tulle Spool for Wedding Party Decorations Gift Bow Craft Tutu Skirt,White",$9.50,4.7,3233
Arts & Crafts,Fabric,flic-flac 28pcs 12 x 8 inches (30cmx20cm) 1.4mm Thick Soft Felt Fabric Sheet Assorted Color Felt Pack DIY Craft Sewing Squares Nonwoven Patchwork,$13.98,4.6,3486
Arts & Crafts,Fabric,"Richcraft 12"" x 10yd NO-FRAY Burlap Roll ~ Long Fabric with Finished Edges. Perfect for Weddings,Table Runners, Placemat, Crafts. Decorate Without The Mess!",$22.99,4.7,1875
Arts & Crafts,Fabric,"Kona Cotton White, Quilting Fabric by the Yard",$5.75,4.7,1628
Arts & Crafts,Fabric,"AK TRADING CO. Muslin Fabric/Textile Unbleached - Draping Fabric - Natural 10 Yards Medium Weight - 100% Cotton (63in. Wide), Natural Unbleached",$39.95,4.7,1212
Arts & Crafts,Fabric,"56 Pieces 9.8""x 9.8"" (25cm x 25cm) Squares Cotton 100% Floral Printed Sewing Supplies Fabric for Quilting Patchwork, DIY Craft, Scrapbooking Cloth",$15.88,4.4,1185
Arts & Crafts,Fabric,"Misscrafts 50pcs 8"" x 8"" (20cm x 20cm) Top Cotton Craft Fabric Bundle Squares Patchwork DIY Sewing Scrapbooking Quilting Dot Pattern",$13.99,4.4,6263
Arts & Crafts,Fabric,"Tulle Roll Spool Fabric for Sewing, Table Skirt and Wedding Decoration,Many Colors Available, 6 Inches by 100 Yards! (White)",$8.99,4.7,2388
Arts & Crafts,Fabric,"Xtreme Sight Line ~ Diamond Form Faraday Fabric ~ Interwoven high-Shielding Copper and Nickel fibers ~ Blocks RF Signals (Including 5G) ~ 51.5"" Width by 1 Yard (36"") Length",$18.99,4.2,35
Arts & Crafts,Fabric,"40Pcs Felt Fabric Sheets, 8 x 12 inch DIY Craft Felt 1mm Thick, Non-Woven Fabric for Patchwork, School Projects, Decoration, 40 Assorted Colors (20 x 30cm)",$11.99,4.5,636
Arts & Crafts,Fabric,"ByAnnie's Soft and Stable Fabric, 36 by 58-Inch, White",$21.17,4.8,1460
Arts & Crafts,Fabric,Angelus 2-Soft Fabric Medium 4oz,$10.38,4.8,2140
